image,run,status,tag_id,conf,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,qw,qx,qy,qz,eu_px,ev_px
frame_000148.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000148.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000150.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000150.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000150.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000150.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000150.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000152.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000152.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000152.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000152.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000152.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000154.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000154.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
